epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,19988.1,0.68154,1.83071,0.19917,0.31682,0.01128,0.16908,0.98146,0.9791,0.99265,0.89886,0.92172,0.89971,0.90421,0.7818,0.48652,1.18283,0.05174,0.17493,0.01039,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,20301,0.67602,1.78821,0.19526,0.30485,0.01114,0.13423,0.98059,0.98076,0.99257,0.89714,0.92167,0.89881,0.90433,0.78137,0.48952,1.17509,0.04938,0.17581,0.01052,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,20614,0.67691,1.79128,0.19344,0.30521,0.01119,0.1394,0.97894,0.97834,0.99233,0.89942,0.91616,0.89474,0.90254,0.78183,0.47997,1.18694,0.04868,0.17903,0.01026,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,20925.1,0.67101,1.79624,0.19069,0.30815,0.01105,0.13747,0.97804,0.98208,0.99256,0.89919,0.91651,0.8992,0.90283,0.78268,0.4837,1.17965,0.0457,0.17819,0.01038,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,21236.2,0.66946,1.78431,0.18847,0.30417,0.011,0.12846,0.97783,0.97986,0.99259,0.89923,0.91536,0.8992,0.9032,0.78308,0.47831,1.16236,0.04609,0.17652,0.0102,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,21550.2,0.65383,1.72137,0.18756,0.2924,0.01073,0.10517,0.97913,0.98229,0.99275,0.90316,0.92193,0.90289,0.90505,0.78589,0.47539,1.14837,0.0457,0.17401,0.01013,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,21861,0.6546,1.73741,0.18657,0.29693,0.01076,0.09017,0.97852,0.98126,0.99263,0.90321,0.92493,0.90264,0.91383,0.78713,0.47407,1.14386,0.04407,0.17404,0.01011,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,22172.2,0.65031,1.73067,0.18207,0.29367,0.01065,0.09908,0.97943,0.98229,0.99274,0.90122,0.92201,0.90853,0.91448,0.78821,0.47494,1.13145,0.04306,0.17277,0.01015,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,22483.6,0.64439,1.71111,0.17979,0.29177,0.01049,0.06421,0.97978,0.98179,0.99256,0.90142,0.92346,0.91026,0.91484,0.78892,0.47231,1.12369,0.04231,0.1735,0.01007,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,22795.9,0.64851,1.72533,0.18,0.2899,0.01055,0.0849,0.98048,0.98216,0.99262,0.90348,0.926,0.90493,0.9143,0.78963,0.46837,1.12702,0.04108,0.17348,0.00994,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,23107.1,0.63662,1.69423,0.17875,0.28094,0.01045,0.06521,0.9814,0.98216,0.99255,0.90388,0.92315,0.90748,0.91464,0.79157,0.46427,1.1209,0.04026,0.17164,0.00984,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,23417.6,0.63544,1.68205,0.17501,0.28503,0.01036,0.08501,0.98352,0.98127,0.99252,0.90558,0.92025,0.90729,0.90542,0.79003,0.46131,1.12877,0.03983,0.17081,0.00978,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,23728.9,0.62542,1.65306,0.17286,0.28014,0.0103,0.04853,0.97971,0.98369,0.99234,0.90479,0.91925,0.90821,0.90492,0.79042,0.46121,1.12928,0.03831,0.17122,0.00976,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,24040.9,0.62138,1.63438,0.17054,0.27832,0.01012,0.03742,0.98566,0.97986,0.99268,0.90544,0.92276,0.90812,0.90513,0.79036,0.46133,1.13231,0.03801,0.16671,0.00979,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,24351.5,0.6157,1.6133,0.16829,0.27334,0.01002,0.04387,0.98213,0.98165,0.99269,0.90536,0.92628,0.90493,0.91351,0.79122,0.45914,1.12285,0.03708,0.1687,0.00972,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,24663,0.61223,1.59644,0.1649,0.27546,0.00989,0.02947,0.9813,0.9829,0.99283,0.90562,0.92522,0.91003,0.91476,0.79318,0.45893,1.11621,0.03535,0.1682,0.00973,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,24974.3,0.60687,1.57988,0.16387,0.26969,0.00989,0.02435,0.98104,0.98223,0.99276,0.90516,0.92371,0.90879,0.91436,0.79289,0.45785,1.11414,0.03491,0.17081,0.0097,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,25285.4,0.6032,1.57128,0.16201,0.27093,0.00981,0.02102,0.98417,0.98101,0.99278,0.9053,0.92202,0.91316,0.91452,0.79287,0.45594,1.10953,0.03413,0.16974,0.00966,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,25598.1,0.58821,1.52744,0.15978,0.26332,0.00959,0.0186,0.98093,0.98342,0.99286,0.90699,0.92599,0.91207,0.91546,0.79546,0.45417,1.10122,0.03373,0.17009,0.0096,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,25909.8,0.59405,1.55044,0.15961,0.26705,0.00966,0.01427,0.98251,0.98063,0.99277,0.90663,0.92992,0.90984,0.9151,0.79433,0.45291,1.10482,0.03262,0.16719,0.00956,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,26220.5,0.58526,1.50921,0.1559,0.25998,0.00946,0.00509,0.98392,0.98243,0.99302,0.90796,0.92977,0.9111,0.91534,0.79549,0.45161,1.10622,0.03178,0.16607,0.00953,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,26530.7,0.58692,1.51533,0.15484,0.25857,0.00944,0.01929,0.98252,0.98471,0.99286,0.90852,0.93062,0.91156,0.91558,0.79785,0.45055,1.09776,0.03116,0.16652,0.0095,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,26841.8,0.57688,1.4874,0.15241,0.25671,0.00931,0.00482,0.98254,0.98267,0.99285,0.90872,0.93005,0.91163,0.91555,0.79659,0.44921,1.0926,0.03044,0.16601,0.00948,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,27156.9,0.56928,1.45425,0.15187,0.246,0.00925,0.00535,0.98137,0.9842,0.99289,0.90831,0.93121,0.90939,0.91556,0.79847,0.44863,1.09435,0.02977,0.16518,0.00947,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
