epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,21543.8,0.50466,1.80074,0.17232,0.29474,1.00596,0.98196,0.98471,0.99302,0.91008,0.91896,0.89831,0.89336,0.7662,0.44476,1.3137,0.02631,0.21005,0.90501,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,21811.5,0.50204,1.7938,0.17105,0.29218,1.00364,0.98428,0.98267,0.99303,0.91036,0.92203,0.89972,0.9014,0.76727,0.44275,1.30599,0.02598,0.20884,0.90362,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,22079.6,0.49682,1.75891,0.17038,0.29075,1.00112,0.98607,0.98178,0.99304,0.91036,0.92214,0.89996,0.90245,0.76844,0.4407,1.29897,0.02558,0.20765,0.90247,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,22347.8,0.4979,1.76767,0.17064,0.29007,1.00252,0.98319,0.98371,0.99312,0.91019,0.9213,0.89958,0.902,0.76849,0.43972,1.2977,0.02548,0.20668,0.90205,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,22619.2,0.49255,1.74754,0.16892,0.28788,1.00017,0.98485,0.98369,0.99316,0.91037,0.92246,0.89716,0.90212,0.76918,0.43932,1.29356,0.02533,0.20672,0.90133,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,22886.9,0.49642,1.73325,0.16744,0.28876,1.00029,0.98321,0.98526,0.99311,0.91127,0.92327,0.8969,0.90208,0.77087,0.43845,1.288,0.02529,0.20639,0.9009,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,23154.7,0.49151,1.71299,0.16667,0.2839,0.99993,0.98461,0.98483,0.99316,0.91054,0.92361,0.89979,0.90283,0.77147,0.4379,1.27728,0.02513,0.20519,0.90063,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,23422.5,0.4848,1.69264,0.16732,0.28115,0.99526,0.98446,0.98483,0.99313,0.91052,0.92393,0.89792,0.90276,0.77047,0.43754,1.27518,0.02482,0.20497,0.90059,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,23690.1,0.48471,1.68067,0.16497,0.28186,0.99638,0.98337,0.98573,0.99313,0.91133,0.92508,0.89856,0.90316,0.77254,0.43727,1.27424,0.02463,0.20472,0.90086,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,23957.6,0.48038,1.64624,0.16386,0.27988,0.99355,0.98372,0.98598,0.99317,0.91147,0.92477,0.8992,0.90348,0.77189,0.43607,1.2731,0.02454,0.20441,0.89998,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,24225,0.4789,1.64171,0.16364,0.2784,0.99397,0.98348,0.98615,0.99315,0.91214,0.92208,0.89754,0.90252,0.77088,0.43561,1.27743,0.02442,0.20411,0.90001,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,24472.3,0.36898,1.1572,0.05588,0.19353,0.92172,0.98478,0.98471,0.99318,0.91234,0.92241,0.89841,0.90294,0.77282,0.43439,1.26971,0.02359,0.20332,0.89915,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,24719.6,0.35707,1.10841,0.05096,0.18651,0.91734,0.98496,0.98457,0.99315,0.9126,0.92249,0.90086,0.90342,0.77417,0.4326,1.25928,0.02285,0.20304,0.89816,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
