epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,16168.4,0.5742,2.29889,0.19584,0.34654,1.04117,0.97774,0.98203,0.99232,0.89539,0.89762,0.8726,0.8668,0.72419,0.48433,1.53661,0.03607,0.23653,0.93231,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,16393.5,0.57445,2.25923,0.19427,0.34563,1.04113,0.97902,0.98115,0.99229,0.8972,0.90432,0.87575,0.87699,0.7267,0.47993,1.51583,0.03536,0.23476,0.9297,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,16618.4,0.57337,2.27901,0.19478,0.34668,1.04065,0.9761,0.9828,0.99219,0.89808,0.91281,0.87498,0.8785,0.73089,0.47716,1.4972,0.03574,0.23502,0.92745,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,16843.5,0.56884,2.24209,0.19335,0.34187,1.04274,0.97815,0.98305,0.99237,0.89789,0.90493,0.8769,0.87751,0.72957,0.47678,1.49396,0.0355,0.23337,0.92708,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,17068.9,0.56891,2.24559,0.19272,0.34252,1.03884,0.97781,0.98266,0.99233,0.89871,0.9083,0.87857,0.8789,0.73198,0.47595,1.48894,0.03608,0.23378,0.92667,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,17295.7,0.56174,2.20556,0.19108,0.33714,1.03727,0.97856,0.98267,0.99236,0.89819,0.90561,0.87668,0.87824,0.73185,0.47623,1.49232,0.03611,0.23443,0.92677,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,17522.8,0.561,2.18863,0.18911,0.33859,1.03476,0.97847,0.98369,0.9923,0.89879,0.90351,0.87354,0.87462,0.73059,0.47623,1.49272,0.03604,0.2338,0.92749,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,17749,0.55694,2.16049,0.18686,0.33539,1.03312,0.97953,0.98241,0.99194,0.89882,0.90587,0.87295,0.87664,0.73164,0.47579,1.49279,0.03562,0.23377,0.92762,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,17975.5,0.55798,2.15013,0.18674,0.33437,1.0338,0.9784,0.98318,0.99203,0.89922,0.90827,0.87333,0.87794,0.73449,0.47437,1.48583,0.03563,0.2332,0.92694,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,18200.6,0.55269,2.13943,0.18676,0.33115,1.03298,0.97853,0.98153,0.99195,0.89948,0.90816,0.87333,0.87763,0.73463,0.47303,1.4841,0.03525,0.23112,0.9257,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,18426.1,0.55224,2.12296,0.18511,0.33077,1.03163,0.97841,0.98305,0.99234,0.90027,0.90759,0.87511,0.87827,0.73555,0.47192,1.4772,0.03494,0.23048,0.92467,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,18651.8,0.54507,2.07108,0.18406,0.32689,1.02889,0.97916,0.98194,0.99231,0.89921,0.90722,0.87598,0.87857,0.73598,0.47248,1.47421,0.0343,0.23027,0.92493,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,18885.4,0.54762,2.10227,0.18541,0.3287,1.03082,0.97858,0.98386,0.9923,0.89984,0.90705,0.87793,0.87842,0.73649,0.47111,1.47075,0.03423,0.22902,0.92314,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,19113.9,0.54215,2.08199,0.18346,0.32616,1.0277,0.97996,0.98318,0.99245,0.90134,0.90855,0.87677,0.87878,0.73598,0.46873,1.4691,0.03391,0.22767,0.92138,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,19339.1,0.54771,2.07053,0.1817,0.32649,1.02875,0.97945,0.98382,0.99251,0.9019,0.91182,0.87664,0.87889,0.7369,0.46715,1.4608,0.03353,0.2271,0.9198,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,19564.3,0.54413,2.049,0.18091,0.3243,1.02937,0.98017,0.98261,0.99249,0.90286,0.91612,0.87753,0.87993,0.7385,0.46544,1.44824,0.0332,0.22621,0.91795,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,19801.8,0.53505,2.02137,0.18139,0.31879,1.02282,0.97956,0.98329,0.9925,0.90301,0.91441,0.88087,0.88849,0.73999,0.46483,1.44054,0.03283,0.22569,0.91725,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,20026.9,0.53736,2.01516,0.17908,0.31998,1.02505,0.98009,0.98241,0.99249,0.90305,0.91305,0.87702,0.88003,0.73925,0.46501,1.44173,0.03274,0.22497,0.9174,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,20251.7,0.5326,1.98119,0.1782,0.31777,1.0232,0.97966,0.98203,0.99244,0.90244,0.91278,0.87792,0.88007,0.74017,0.46399,1.44452,0.03262,0.22511,0.91665,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
